ts,rain,wind_speed,et0,solar_radiation
2023-07-09 10:00:00,0.0,5.9,0.59,787.0
2023-07-09 11:00:00,0.0,4.6,0.65,857.0
2023-07-09 12:00:00,0.0,4.6,0.66,879.0
2023-07-09 13:00:00,0.0,4.2,0.65,847.0
2023-07-09 14:00:00,0.0,5.2,0.59,755.0
2023-07-09 15:00:00,0.0,7.5,0.52,625.0
2023-07-09 16:00:00,0.0,8.4,0.41,470.0
2023-07-09 17:00:00,0.0,8.4,0.29,302.0
2023-07-09 18:00:00,0.0,6.8,0.16,153.0
2023-07-09 19:00:00,0.0,8.0,0.08,38.0
2023-07-09 20:00:00,0.0,7.4,0.06,0.0
2023-07-09 21:00:00,0.0,8.2,0.04,0.0
2023-07-09 22:00:00,0.0,6.4,0.03,0.0
2023-07-09 23:00:00,0.0,3.6,0.0,0.0
2023-07-10 00:00:00,0.0,3.9,0.0,0.0
2023-07-10 01:00:00,0.0,2.6,0.0,0.0
2023-07-10 02:00:00,0.0,3.6,0.0,0.0
2023-07-10 03:00:00,0.0,4.2,0.0,0.0
2023-07-10 04:00:00,0.0,4.9,0.01,1.0
2023-07-10 05:00:00,0.0,4.7,0.04,58.0
2023-07-10 06:00:00,0.0,3.6,0.12,192.0
2023-07-10 07:00:00,0.0,2.7,0.24,357.0
2023-07-10 08:00:00,0.0,3.7,0.37,522.0
2023-07-10 09:00:00,0.0,3.4,0.5,667.0
2023-07-10 10:00:00,0.0,3.9,0.6,781.0
2023-07-10 11:00:00,0.0,3.7,0.66,851.0
2023-07-10 12:00:00,0.0,2.1,0.67,871.0
2023-07-10 13:00:00,0.0,1.9,0.64,828.0
2023-07-10 14:00:00,0.0,2.9,0.58,734.0
2023-07-10 15:00:00,0.0,4.1,0.47,579.0
2023-07-10 16:00:00,0.0,4.2,0.29,327.0
2023-07-10 17:00:00,0.0,5.9,0.24,251.0
2023-07-10 18:00:00,0.0,6.6,0.16,154.0
2023-07-10 19:00:00,0.0,8.9,0.1,36.0
2023-07-10 20:00:00,0.0,7.6,0.04,0.0
2023-07-10 21:00:00,0.0,4.4,0.02,0.0
2023-07-10 22:00:00,0.0,4.6,0.01,0.0
2023-07-10 23:00:00,0.0,5.6,0.01,0.0
2023-07-11 00:00:00,0.0,5.4,0.03,0.0
2023-07-11 01:00:00,0.0,5.9,0.03,0.0
2023-07-11 02:00:00,0.0,5.2,0.02,0.0
2023-07-11 03:00:00,0.0,6.6,0.02,0.0
2023-07-11 04:00:00,0.0,6.3,0.02,1.0
2023-07-11 05:00:00,0.0,5.7,0.06,57.0
2023-07-11 06:00:00,0.0,5.0,0.14,191.0
